,Ciudad,genero,edad,SensaciónVisual,SensaciónVisualNormalizada,PreferenciaVisual,PreferenciaVisualNormalizado,SensaciónTérmica,SensaciónTérmicaNormalizada,PreferenciaTérmica,PreferenciaTérmicaNormalizado,EV_media,Rango_EV_media,TEMP,HUMEDAD
279,Armenia,F,25.0,0.0,1.0,0.0,1.0,1.0,0.67,-2.0,0.33,128.0,2.0,26.1,70.6
280,Armenia,F,18.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,146.0,2.0,26.2,66.9
281,Armenia,F,18.0,-1.0,0.5,2.0,0.0,0.0,1.0,0.0,1.0,100.0,2.0,26.0,70.8
282,Armenia,F,18.0,-1.0,0.5,2.0,0.0,0.0,1.0,0.0,1.0,95.0,1.0,26.1,70.6
283,Armenia,F,18.0,-1.0,0.5,2.0,0.0,0.0,1.0,0.0,1.0,63.0,1.0,26.2,66.9
284,Armenia,F,18.0,0.0,1.0,2.0,0.0,0.0,1.0,-1.0,0.67,49.0,1.0,25.9,69.0
285,Armenia,F,18.0,0.0,1.0,1.0,0.5,0.0,1.0,-1.0,0.67,56.0,1.0,25.8,69.9
286,Armenia,F,18.0,0.0,1.0,1.0,0.5,0.0,1.0,-1.0,0.67,36.0,1.0,26.1,70.6
287,Armenia,M,20.0,-1.0,0.5,2.0,0.0,2.0,0.33,-3.0,0.0,71.0,1.0,26.2,66.9
288,Armenia,M,20.0,-1.0,0.5,2.0,0.0,2.0,0.33,-3.0,0.0,63.0,1.0,25.9,69.0
289,Armenia,M,20.0,-1.0,0.5,1.0,0.5,2.0,0.33,-2.0,0.33,95.0,1.0,25.8,69.9
290,Armenia,M,20.0,0.0,1.0,1.0,0.5,1.0,0.67,-2.0,0.33,16.0,1.0,26.0,70.8
291,Armenia,M,20.0,-1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,26.1,70.6
292,Armenia,M,19.0,2.0,0.0,1.0,0.5,0.0,1.0,-3.0,0.0,20.0,1.0,26.2,66.9
293,Armenia,M,19.0,0.0,1.0,1.0,0.5,-2.0,0.33,-1.0,0.67,5.0,1.0,25.9,69.0
294,Armenia,M,19.0,0.0,1.0,1.0,0.5,-2.0,0.33,-2.0,0.33,28.0,1.0,25.8,69.9
295,Armenia,M,19.0,-1.0,0.5,1.0,0.5,-2.0,0.33,-2.0,0.33,-26.0,1.0,26.0,70.8
296,Armenia,M,19.0,-1.0,0.5,2.0,0.0,-2.0,0.33,-2.0,0.33,-26.0,1.0,26.1,70.6
297,Armenia,F,21.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,147.0,2.0,24.1,69.9
298,Armenia,F,21.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,198.0,2.0,24.3,70.3
299,Armenia,F,21.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,158.0,2.0,24.8,69.8
300,Armenia,F,21.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,150.0,2.0,25.4,68.3
301,Armenia,F,21.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,191.0,2.0,25.3,68.5
302,Armenia,F,21.0,0.0,1.0,0.0,1.0,-2.0,0.33,0.0,1.0,299.0,2.0,23.7,69.7
303,Armenia,F,21.0,-1.0,0.5,1.0,0.5,-3.0,0.0,1.0,0.67,285.0,2.0,24.1,69.9
304,Armenia,M,21.0,0.0,1.0,1.0,0.5,-1.0,0.67,1.0,0.67,124.0,2.0,23.7,69.7
305,Armenia,M,21.0,0.0,1.0,2.0,0.0,-1.0,0.67,1.0,0.67,124.0,2.0,24.1,69.9
306,Armenia,M,21.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,255.0,2.0,24.3,70.3
