,Ciudad,genero,edad,P1.1,P6 bien,P2.1,P7 bien,Rango_EH_media,Rango_EV_media,TEMP,HUMEDAD,sens_vis_term_orig,pref_vis_term_orig
95,Cartagena,F,19.0,-1.0,0.0,2.0,0.0,1.0,1.0,27.3,52.9,0.0-1.01.0,0.02.01.0
96,Cartagena,F,19.0,0.0,0.0,0.0,0.0,2.0,1.0,27.6,50.8,0.00.01.0,0.00.01.0
97,Cartagena,F,19.0,0.0,-1.0,0.0,0.0,2.0,1.0,27.8,51.4,-1.00.01.0,0.00.01.0
98,Cartagena,F,19.0,-1.0,-1.0,1.0,0.0,2.0,1.0,27.7,50.2,-1.0-1.01.0,0.01.01.0
99,Cartagena,F,19.0,0.0,0.0,0.0,0.0,2.0,1.0,27.9,48.3,0.00.01.0,0.00.01.0
100,Cartagena,F,19.0,0.0,0.0,0.0,0.0,2.0,1.0,28.1,48.9,0.00.01.0,0.00.01.0
101,Cartagena,F,19.0,2.0,1.0,0.0,-1.0,2.0,1.0,27.3,52.9,1.02.01.0,-1.00.01.0
102,Cartagena,F,19.0,2.0,3.0,-2.0,-3.0,2.0,1.0,27.6,50.8,3.02.01.0,-3.0-2.01.0
103,Cartagena,F,19.0,0.0,1.0,0.0,-1.0,2.0,1.0,27.8,51.4,1.00.01.0,-1.00.01.0
104,Cartagena,F,19.0,0.0,0.0,0.0,0.0,2.0,1.0,27.7,50.2,0.00.01.0,0.00.01.0
105,Cartagena,F,19.0,-1.0,-2.0,1.0,1.0,2.0,1.0,27.9,48.3,-2.0-1.01.0,1.01.01.0
106,Cartagena,F,19.0,-2.0,-2.0,-2.0,0.0,2.0,1.0,28.1,48.9,-2.0-2.01.0,0.0-2.01.0
107,Cartagena,F,17.0,0.0,0.0,0.0,0.0,1.0,2.0,27.3,52.9,0.00.02.0,0.00.02.0
108,Cartagena,F,17.0,1.0,0.0,0.0,0.0,1.0,2.0,27.6,50.8,0.01.02.0,0.00.02.0
109,Cartagena,F,17.0,-1.0,2.0,-1.0,-2.0,1.0,2.0,27.7,50.2,2.0-1.02.0,-2.0-1.02.0
110,Cartagena,F,17.0,-1.0,1.0,-2.0,-1.0,1.0,2.0,27.9,48.3,1.0-1.02.0,-1.0-2.02.0
111,Cartagena,F,17.0,2.0,-1.0,0.0,-2.0,1.0,2.0,28.1,48.9,-1.02.02.0,-2.00.02.0
112,Cartagena,M,17.0,0.0,0.0,0.0,0.0,1.0,1.0,27.3,52.9,0.00.01.0,0.00.01.0
113,Cartagena,M,17.0,2.0,2.0,-2.0,-2.0,1.0,1.0,27.6,50.8,2.02.01.0,-2.0-2.01.0
114,Cartagena,M,17.0,-1.0,0.0,2.0,0.0,1.0,1.0,27.8,51.4,0.0-1.01.0,0.02.01.0
115,Cartagena,M,17.0,0.0,1.0,0.0,0.0,1.0,1.0,27.7,50.2,1.00.01.0,0.00.01.0
116,Cartagena,M,17.0,0.0,1.0,-1.0,0.0,1.0,1.0,27.9,48.3,1.00.01.0,0.0-1.01.0
117,Cartagena,M,17.0,-2.0,0.0,2.0,-1.0,1.0,1.0,28.1,48.9,0.0-2.01.0,-1.02.01.0
118,Cartagena,F,18.0,0.0,0.0,1.0,0.0,1.0,1.0,27.3,52.9,0.00.01.0,0.01.01.0
119,Cartagena,F,18.0,0.0,0.0,1.0,0.0,1.0,1.0,27.6,50.8,0.00.01.0,0.01.01.0
120,Cartagena,F,18.0,0.0,0.0,1.0,0.0,1.0,1.0,27.8,51.4,0.00.01.0,0.01.01.0
121,Cartagena,F,18.0,0.0,0.0,1.0,0.0,1.0,1.0,27.7,50.2,0.00.01.0,0.01.01.0
122,Cartagena,F,18.0,0.0,0.0,1.0,0.0,1.0,1.0,27.9,48.3,0.00.01.0,0.01.01.0
123,Cartagena,F,18.0,0.0,0.0,1.0,0.0,1.0,1.0,28.1,48.9,0.00.01.0,0.01.01.0
124,Cartagena,F,18.0,-1.0,-2.0,1.0,-2.0,1.0,1.0,27.3,52.9,-2.0-1.01.0,-2.01.01.0
125,Cartagena,F,18.0,-2.0,-2.0,1.0,-2.0,1.0,1.0,27.6,50.8,-2.0-2.01.0,-2.01.01.0
126,Cartagena,F,18.0,-1.0,-2.0,1.0,-2.0,1.0,1.0,27.8,51.4,-2.0-1.01.0,-2.01.01.0
127,Cartagena,F,18.0,-1.0,-2.0,1.0,-2.0,1.0,1.0,27.7,50.2,-2.0-1.01.0,-2.01.01.0
128,Cartagena,F,18.0,-1.0,-2.0,1.0,-2.0,1.0,1.0,27.9,48.3,-2.0-1.01.0,-2.01.01.0
129,Cartagena,F,24.0,-1.0,0.0,1.0,0.0,1.0,2.0,27.3,52.6,0.0-1.02.0,0.01.02.0
130,Cartagena,F,24.0,0.0,0.0,0.0,-1.0,1.0,2.0,27.6,53.2,0.00.02.0,-1.00.02.0
